"","update","seed","FIX","K","ED","MUT","TRD","VEL","edit_distance_mean","edit_distance_max","edit_distance_min","average_unique_genomes","alpha","beta","K_str","K_factor","FIX_str","ED_str","MUT_str","MUT_factor"
"66",0,507,0,5,0,0.1,0,0.1,81.765,88,72,100,-0.0101818109165122,0.00403112061919477,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"67",0,507,0,10,0,0.001,0,0.1,85.05,91,78,100,-0.00589876766064417,0.00207445898845166,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"68",0,507,0,10,0,0.01,0,0.1,85.05,91,78,100,-0.00589876766064417,0.00207445898845166,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"69",0,507,0,10,0,0.1,0,0.1,85.05,91,78,100,-0.00589876766064417,0.00207445898845166,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"70",0,507,1,3,0,0.001,0,0.1,74.54,83,63,100,0.00108768439488336,-0.000477899492844397,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"71",0,507,1,3,0,0.01,0,0.1,74.54,83,63,100,0.00108768439488336,-0.000477899492844397,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"72",0,507,1,3,0,0.1,0,0.1,74.54,83,63,100,0.00108768439488336,-0.000477899492844397,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"73",0,508,0,3,0,0.001,0,0.1,72.795,86,52,100,0.00558888321135706,-0.00199509131563967,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"74",0,508,0,3,0,0.01,0,0.1,72.795,86,52,100,0.00558888321135706,-0.00199509131563967,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"75",0,508,0,3,0,0.1,0,0.1,72.795,86,52,100,0.00558888321135706,-0.00199509131563967,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"76",0,508,0,5,0,0.001,0,0.1,80.43,88,70,100,-0.00740121465060029,0.00268325412890076,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"77",0,508,0,5,0,0.01,0,0.1,80.43,88,70,100,-0.00740121465060029,0.00268325412890076,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"78",0,508,0,5,0,0.1,0,0.1,80.43,88,70,100,-0.00740121465060029,0.00268325412890076,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"79",0,508,0,10,0,0.001,0,0.1,84.07,91,76,100,0.0034514550191,-0.00131353414622508,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"80",0,508,0,10,0,0.01,0,0.1,84.07,91,76,100,0.0034514550191,-0.00131353414622508,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"81",0,508,0,10,0,0.1,0,0.1,84.07,91,76,100,0.0034514550191,-0.00131353414622508,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"82",0,508,1,3,0,0.001,0,0.1,74.515,84,67,100,0.00239117960856539,-0.000840899959334627,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"83",0,508,1,3,0,0.01,0,0.1,74.515,84,67,100,0.00239117960856539,-0.000840899959334627,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"84",0,508,1,3,0,0.1,0,0.1,74.515,84,67,100,0.00239117960856539,-0.000840899959334627,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"85",0,509,0,3,0,0.001,0,0.1,75.955,87,58,100,0.00884784681117793,-0.00334249581411317,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"86",0,509,0,3,0,0.01,0,0.1,75.955,87,58,100,0.00884784681117793,-0.00334249581411317,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"87",0,509,0,3,0,0.1,0,0.1,75.955,87,58,100,0.00884784681117793,-0.00334249581411317,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"88",0,509,0,5,0,0.001,0,0.1,80.49,90,68,100,-0.00391589073711636,0.00119515345908203,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"89",0,509,0,5,0,0.01,0,0.1,80.49,90,68,100,-0.00391589073711636,0.00119515345908203,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"90",0,509,0,5,0,0.1,0,0.1,80.49,90,68,100,-0.00391589073711636,0.00119515345908203,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"91",0,509,0,10,0,0.001,0,0.1,85.22,91,79,100,0.000507224699990361,-0.000518068809852685,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"92",0,509,0,10,0,0.01,0,0.1,85.22,91,79,100,0.000507224699990361,-0.000518068809852685,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"93",0,509,0,10,0,0.1,0,0.1,85.22,91,79,100,0.000507224699990361,-0.000518068809852685,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"94",0,509,1,3,0,0.001,0,0.1,76.55,84,67,100,-0.00158321534643383,0.00046211164059159,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"95",0,509,1,3,0,0.01,0,0.1,76.55,84,67,100,-0.00158321534643383,0.00046211164059159,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"96",0,509,1,3,0,0.1,0,0.1,76.55,84,67,100,-0.00158321534643383,0.00046211164059159,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"97",0,510,0,3,0,0.001,0,0.1,76.15,88,52,100,-0.00400445213704952,0.00127045155848841,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"98",0,510,0,3,0,0.01,0,0.1,76.15,88,52,100,-0.00400445213704952,0.00127045155848841,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"99",0,510,0,3,0,0.1,0,0.1,76.15,88,52,100,-0.00400445213704952,0.00127045155848841,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"100",0,510,0,5,0,0.001,0,0.1,79.095,86,70,100,-0.00191953503420705,0.000370454667382344,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"101",0,510,0,5,0,0.01,0,0.1,79.095,86,70,100,-0.00191953503420705,0.000370454667382344,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
